00049567,"
詳細
","
当選","
41418129","
2020/07/22（水）","

札幌市　美香保公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00057147,"
詳細
","
当選","
41413493","
2020/07/07（火）","

札幌市　美香保公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00057154,"
詳細
","
当選","
41414181","
2020/07/09（木）","

札幌市　美香保公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00057154,"
詳細
","
当選","
41422303","
2020/07/07（火）","

札幌市　農試公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00057161,"
詳細
","
当選","
41443667","
2020/07/28（火）","

札幌市　月寒公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00057191,"
詳細
","
当選","
41430550","
2020/07/20（月）","

札幌市　月寒公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00057191,"
詳細
","
当選","
41423435","
2020/07/15（水）","

札幌市　農試公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00057192,"
詳細
","
当選","
41427664","
2020/07/07（火）","

札幌市　月寒公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00057192,"
詳細
","
当選","
41412678","
2020/07/07（火）","

札幌市　美香保公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00064616,"
詳細
","
当選","
41425418","
2020/07/20（月）","

札幌市　農試公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00064628,"
詳細
","
当選","
41443877","
2020/07/28（火）","

札幌市　月寒公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00079623,"
詳細
","
当選","
41425551","
2020/07/20（月）","

札幌市　農試公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00079623,"
詳細
","
当選","
41430429","
2020/07/12（日）","

札幌市　手稲稲積公園東側テニスコート　抽選申込","
2020/06/10（水）"
00079623,"
詳細
","
当選","
41427822","
2020/07/07（火）","

札幌市　月寒公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00079624,"
詳細
","
当選","
41429939","
2020/07/17（金）","

札幌市　月寒公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00079632,"
詳細
","
当選","
41417289","
2020/07/17（金）","

札幌市　美香保公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00095662,"
詳細
","
当選","
41414741","
2020/07/09（木）","

札幌市　美香保公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00087463,"
詳細
","
当選","
41445371","
2020/07/22（水）","

札幌市　月寒公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00087477,"
詳細
","
当選","
41422610","
2020/07/07（火）","

札幌市　農試公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00095666,"
詳細
","
当選","
41430222","
2020/07/20（月）","

札幌市　月寒公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00079638,"
詳細
","
当選","
41430885","
2020/07/22（水）","

札幌市　月寒公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00095664,"
詳細
","
当選","
41417994","
2020/07/20（月）","

札幌市　美香保公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00095664,"
詳細
","
当選","
41417395","
2020/07/17（金）","

札幌市　美香保公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00095665,"
詳細
","
当選","
41428762","
2020/07/11（土）","

札幌市　手稲稲積公園東側テニスコート　抽選申込","
2020/06/10（水）"
00087475,"
詳細
","
当選","
41424048","
2020/07/15（水）","

札幌市　農試公園硬式テニスコート　抽選申込","
2020/06/10（水）"
00095663,"
詳細
","
当選","
41430389","
2020/07/11（土）","

札幌市　手稲稲積公園東側テニスコート　抽選申込","
2020/06/10（水）"
